69 1176
0 3 37
0 7 25
0 13 81
0 15 35
0 32 68
0 37 1
0 38 64
0 42 94
0 45 22
0 46 19
0 53 23
0 57 82
0 63 10
0 64 4
0 65 52
0 67 26
0 68 45
1 3 89
1 4 67
1 6 4
1 7 133
1 8 57
1 9 41
1 10 47
1 14 65
1 16 140
1 22 233
1 26 28
1 28 54
1 35 8
1 40 82
1 42 7
1 45 47
1 49 43
1 50 62
1 54 37
1 62 83
1 67 28
2 1 31
2 6 22
2 10 13
2 11 31
2 13 44
2 19 128
2 51 84
2 54 80
2 58 26
2 61 20
2 63 69
2 66 92
3 2 4
3 7 43
3 10 2
3 16 21
3 17 52
3 20 12
3 22 76
3 24 149
3 31 66
3 39 38
3 42 69
3 44 72
3 45 94
3 46 72
3 48 27
3 50 94
3 64 58
3 66 64
4 7 29
4 8 37
4 13 63
4 20 24
4 22 34
4 29 36
4 33 70
4 39 81
4 43 43
4 45 94
4 47 45
4 50 59
4 59 46
4 61 123
4 65 81
4 67 69
5 1 48
5 3 67
5 4 51
5 7 55
5 11 56
5 13 94
5 15 52
5 22 13
5 28 65
5 30 114
5 31 117
5 33 12
5 35 24
5 43 11
5 53 43
5 54 25
5 60 19
5 65 42
6 14 64
6 16 159
6 18 40
6 19 20
6 22 54
6 27 15
6 34 59
6 36 98
6 38 62
6 45 25
6 52 24
6 54 30
6 58 197
6 64 67
6 66 51
7 2 57
7 10 178
7 17 151
7 18 51
7 29 53
7 33 40
7 37 40
7 43 29
7 54 40
7 55 47
7 56 71
7 66 94
8 0 85
8 3 23
8 6 123
8 10 88
8 20 6
8 23 83
8 24 83
8 26 99
8 30 48
8 35 20
8 40 37
8 45 31
8 51 82
8 56 41
8 57 25
8 58 10
8 60 90
8 64 15
8 67 46
9 0 66
9 2 59
9 3 36
9 4 32
9 5 29
9 8 76
9 13 59
9 15 15
9 18 38
9 19 39
9 21 154
9 22 43
9 27 5
9 31 22
9 33 87
9 36 172
9 38 42
9 44 29
9 48 108
9 51 59
9 53 94
9 57 57
9 58 22
9 66 61
10 4 38
10 5 37
10 9 95
10 11 16
10 15 17
10 18 60
10 19 50
10 22 14
10 23 29
10 24 30
